Customer ID,TotalSpending,NumberOfOrders,Cluster
12346.0,578.36,15,2
12347.0,162.95,2,0
12348.0,14.39,1,0
12349.0,899.49,4,0
12351.0,49.46,1,0
12352.0,54.6,2,0
12353.0,38.78,1,0
12355.0,52.78,1,0
12356.0,261.38,3,0
12357.0,1395.6399999999999,2,0
12358.0,256.13,3,0
12359.0,562.78,8,0
12360.0,278.22,6,0
12361.0,78.9,3,0
12362.0,130.0,1,0
12366.0,5.07,1,0
12368.0,79.05,1,0
12369.0,292.85,3,0
12370.0,224.36,3,0
12371.0,421.85,3,0
12373.0,171.85,2,0
12374.0,149.47,3,0
12376.0,104.4,2,0
12377.0,207.17000000000002,2,0
12378.0,360.97,1,0
12379.0,120.9,2,0
12380.0,3921.94,10,2
12382.0,18.38,1,0
12385.0,254.25,2,0
12386.0,21.81,1,0
12387.0,24.86,1,0
12388.0,134.64000000000001,2,0
12389.0,130.06,3,0
12391.0,828.01,6,0
12392.0,35.25,1,0
12393.0,137.9,3,0
12395.0,290.65,4,0
12396.0,149.46,1,0
12399.0,99.8,3,0
12400.0,32.05,1,0
12402.0,207.9,6,0
12403.0,28.53,1,0
12404.0,63.24,1,0
12406.0,166.47,4,0
12408.0,175.55,5,0
12409.0,477.63,6,0
12410.0,75.87,1,0
12411.0,74.7,1,0
12412.0,171.87,5,0
12413.0,118.69999999999999,1,0
12414.0,477.08,5,0
12415.0,652.02,7,0
12416.0,16.88,1,0
12417.0,1020.3299999999999,15,2
12418.0,224.29,4,0
12419.0,126.09,2,0
12421.0,107.96,3,0
12422.0,2717.87,18,2
12423.0,125.89,2,0
12424.0,139.08,5,0
12425.0,135.87,2,0
12426.0,178.72,2,0
12427.0,49.25,1,0
12429.0,225.14,6,0
12431.0,678.53,16,2
12433.0,728.66,6,0
12434.0,68.12,1,0
12435.0,220.41,4,0
12437.0,1194.23,28,2
12439.0,271.46,3,0
12440.0,189.79,3,0
12441.0,40.71,1,0
12443.0,123.28,1,0
12445.0,59.59,2,0
12449.0,26.93,2,0
12450.0,77.54,5,0
